ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92127,7,2024,I,Y,0,0,0
92127,7,2024,R,N,3478,2267275,652
92128,7,2024,A,Y,0,0,0
92128,7,2024,C,Y,0,0,0
92128,7,2024,I,Y,0,0,0
92128,7,2024,R,Y,5774,2821317,489
92129,7,2024,A,Y,0,0,0
92129,7,2024,C,Y,0,0,0
92129,7,2024,I,Y,0,0,0
92129,7,2024,R,N,4532,1650935,364
92130,7,2024,A,Y,0,0,0
92130,7,2024,C,Y,0,0,0
92130,7,2024,I,Y,0,0,0
92130,7,2024,R,N,6598,2275594,345
92131,7,2024,A,Y,0,0,0
92131,7,2024,C,Y,217,3774037,17392
92131,7,2024,I,Y,0,0,0
92131,7,2024,R,Y,3324,1343550,404
92132,7,2024,A,Y,0,0,0
92132,7,2024,C,Y,0,0,0
92132,7,2024,I,Y,0,0,0
92132,7,2024,R,Y,0,0,0
92134,7,2024,A,Y,0,0,0
92134,7,2024,C,Y,0,0,0
92134,7,2024,I,Y,0,0,0
92134,7,2024,R,Y,0,0,0
92135,7,2024,A,Y,0,0,0
92135,7,2024,C,Y,0,0,0
92135,7,2024,I,Y,0,0,0
92135,7,2024,R,Y,0,0,0
92136,7,2024,A,Y,0,0,0
92136,7,2024,C,Y,0,0,0
92136,7,2024,I,Y,0,0,0
92136,7,2024,R,Y,0,0,0
92139,7,2024,A,Y,0,0,0
92139,7,2024,C,Y,0,0,0
92139,7,2024,I,Y,0,0,0
92139,7,2024,R,N,1896,626722,331
92145,7,2024,A,Y,0,0,0
92145,7,2024,C,Y,0,0,0
92145,7,2024,I,Y,0,0,0
92145,7,2024,R,Y,0,0,0
92152,7,2024,A,Y,0,0,0
92152,7,2024,C,Y,0,0,0
92152,7,2024,I,Y,0,0,0
92152,7,2024,R,Y,0,0,0
92154,7,2024,A,Y,0,0,0
92154,7,2024,C,Y,612,9322572,15233
92154,7,2024,I,Y,0,0,0
92154,7,2024,R,Y,5144,1957566,381
92155,7,2024,A,Y,0,0,0
92155,7,2024,C,Y,0,0,0
92155,7,2024,I,Y,0,0,0
92155,7,2024,R,Y,0,0,0
92158,7,2024,A,Y,0,0,0
92158,7,2024,C,Y,0,0,0
92158,7,2024,I,Y,0,0,0
92158,7,2024,R,Y,0,0,0
92161,7,2024,A,Y,0,0,0
92161,7,2024,C,Y,0,0,0
92161,7,2024,I,Y,0,0,0
92161,7,2024,R,Y,0,0,0
92173,7,2024,A,Y,0,0,0
92173,7,2024,C,Y,0,0,0
92173,7,2024,I,Y,0,0,0
92173,7,2024,R,N,1222,226693,186
92179,7,2024,A,Y,0,0,0
92179,7,2024,C,Y,0,0,0
92179,7,2024,I,Y,0,0,0
92179,7,2024,R,Y,0,0,0
92182,7,2024,A,Y,0,0,0
92182,7,2024,C,Y,0,0,0
